"Time differences (ps)"	"Normalized correlation g(2)"
-2000	0
-1900	0
-1800	0
-1700	0
-1600	0
-1500	0
-1400	0
-1300	0
-1200	0
-1100	0
-1000	0
-900	0
-800	0
-700	0
-600	0
-500	0
-400	0
-300	0
-200	0
-100	0
0	1955.7857854427893
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0.0005610143789858766
5900	0.6616909593602512
6000	2.037043210097718
6100	1.838291116015176
6200	1.7867542951092463
6300	1.7417456415224248
6400	1.7036476650585657
6500	1.6463476964412356
6600	1.6202860284719824
6700	1.5857071422035802
6800	1.5605889984171673
6900	1.5387349382903082
7000	1.5162178611701025
7100	1.5054310847014194
7200	1.4885496520246626
7300	1.4822254899342764
7400	1.4762328363405635
7500	1.4729687526810094
7600	1.4711072049689198
7700	1.4596064101997095
7800	1.4640945252315964
7900	1.4458615579145555
8000	1.450400674253623
8100	1.471999727844579
8200	1.458611884709689
8300	1.4723312363412526
8400	1.4679961252309073
8500	1.4723312363412526
8600	1.47493230300746
8700	1.4871726167307882
8800	1.4825059971237693
8900	1.488396648103121
9000	1.490309197122391
9100	1.4984439056176861
9200	1.5062216049627177
9300	1.509026676857647
9400	1.5145093173795545
9500	1.533558305611484
9600	1.5359808677025595
9700	1.5780314454729099
9800	1.5712482716178988
9900	1.5760678951464593
10000	1.589787246778023
10100	1.5965959212866243
10200	1.6120748180159166
10300	1.6229380964453703
10400	1.6329853539599355
10500	1.6484387500356374
10600	1.6587410140861054
10700	1.6961759735566175
10800	1.718004533029886
10900	1.7452647317178818
11000	1.7944299918399167
11100	1.8078433356283972
11200	1.82625480752057
11300	1.8404076702631682
11400	1.8703199369245516
11500	1.8769246062044307
11600	1.8899554401890573
11700	1.8907969617575362
11800	1.9124980179628535
11900	1.9223157695951063
12000	1.9597507290656184
