2024-06-04 08:48:30

Description 
===========





IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
8.6	-0.001	-0.001	-0.001	0.001	-0.001	-0.003	-0.001	-0.003	0	0	0	0	0	0	0	0	2000.0
8.7	0.002	0.002	0.002	-0.001	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
8.8	0.002	0.002	0.002	0.001	-0.003	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
8.9	-0.001	0.002	0.002	-0.002	0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
9.0	0.0	0.0	0.002	-0.001	-0.0	-0.003	-0.0	0.0	0	0	0	0	0	0	0	0	2000.0
9.1	0.002	0.002	-0.0	-0.001	-0.001	-0.001	-0.001	-0.003	0	0	0	0	0	0	0	0	2000.0
9.2	-0.001	0.002	0.002	-0.002	-0.001	-0.001	0.001	-0.003	0	0	0	0	0	0	0	0	2000.0
9.3	-0.001	-0.001	-0.001	-0.002	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
9.4	0.0	0.0	-0.0	0.001	0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
9.5	0.0	0.0	0.005	-0.001	-0.001	-0.001	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
9.6	-0.001	-0.001	-0.001	-0.002	0.001	-0.001	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
9.7	-0.001	-0.001	-0.001	-0.002	0.001	0.001	-0.003	-0.001	0	0	0	0	0	0	0	0	2000.0
9.8	-0.001	-0.001	-0.001	-0.002	0.002	0.0	0.002	0.0	0	0	0	0	0	0	0	0	2000.0
9.9	-0.001	-0.001	-0.001	-0.002	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
10.0	0.002	-0.001	-0.001	-0.002	0.002	0.0	-0.0	0.0	0	0	0	0	0	0	0	0	2000.0
10.1	0.0	0.0	-0.0	-0.001	-0.0	0.0	0.002	0.0	0	0	0	0	0	0	0	0	2000.0
10.2	0.0	0.0	-0.0	-0.001	-0.001	-0.001	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
10.3	-0.001	0.0	0.002	-0.001	-0.0	0.0	-0.0	0.0	0	0	0	0	0	0	0	0	2000.0
10.4	0.0	0.0	-0.0	-0.002	0.001	0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
10.5	-0.001	-0.001	0.002	-0.002	0.001	-0.002	-0.002	-0.002	0	0	0	0	0	0	0	0	2000.0
10.6	0.0	0.0	-0.0	-0.001	-0.001	-0.003	-0.001	0.001	0	0	0	0	0	0	0	0	2000.0
10.7	0.002	-0.001	-0.001	-0.002	0.001	0.001	-0.001	0.001	0	0	0	0	0	0	0	0	2000.0
10.8	0.0	0.0	-0.0	-0.001	0.001	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
10.9	-0.001	-0.001	-0.001	0.0	-0.0	0.0	-0.0	-0.003	0	0	0	0	0	0	0	0	2000.0
11.0	0.0	0.0	-0.0	-0.001	-0.0	0.002	-0.0	0.0	0	0	0	0	0	0	0	0	2000.0
11.1	-0.001	-0.001	-0.001	-0.002	-0.001	0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
11.2	-0.001	-0.001	-0.001	0.001	-0.001	-0.001	-0.001	-0.003	0	0	0	0	0	0	0	0	2000.0
11.3	0.002	0.002	-0.001	-0.002	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
11.4	0.002	-0.001	0.002	-0.002	-0.002	-0.002	-0.002	0.001	0	0	0	0	0	0	0	0	2000.0
11.5	-0.001	0.002	0.002	-0.002	0.001	0.001	0.001	-0.002	0	0	0	0	0	0	0	0	2000.0
11.6	-0.001	-0.001	-0.001	-0.002	-0.001	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
11.7	0.002	0.002	-0.001	0.001	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
11.8	-0.001	-0.001	-0.001	-0.002	0.001	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
11.9	0.0	0.0	-0.0	0.001	0.001	0.001	-0.001	0.001	0	0	0	0	0	0	0	0	2000.0
12.0	0.0	0.0	-0.0	-0.001	-0.002	-0.002	-0.002	-0.002	0	0	0	0	0	0	0	0	2000.0
12.1	-0.001	-0.001	-0.001	-0.002	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
12.2	-0.001	-0.001	0.002	-0.002	-0.002	0.001	0.003	0.001	0	0	0	0	0	0	0	0	2000.0
12.3	0.002	-0.001	-0.001	-0.002	0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
12.4	0.002	-0.001	0.002	-0.002	-0.0	-0.003	-0.0	0.0	0	0	0	0	0	0	0	0	2000.0
12.5	0.0	-0.001	0.002	-0.002	0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
